run,model,num_heads,seed,parameters,epochs_completed,training_seconds,validation_token_accuracy,validation_sequence_accuracy,test_token_accuracy,test_sequence_accuracy,generalization_token_accuracy,generalization_sequence_accuracy
lstm_heads-na_seed-13,lstm,,13,540704,20,347.7037085000011,0.8301400147383935,0.546,0.8256391256020749,0.533,0.2615658929538001,0.0
lstm_heads-na_seed-37,lstm,,37,540704,20,330.3498552000001,0.7931744630773757,0.495,0.7915586819696409,0.484,0.24267927501970055,0.0
lstm_heads-na_seed-71,lstm,,71,540704,20,344.3489451000005,0.8289125670671805,0.572,0.821959559916741,0.555,0.25426410556627954,0.0
transformer_heads-1_seed-13,transformer,1,13,675360,20,622.7175745999994,0.5785556374355195,0.368,0.5683586513523528,0.358,0.05899958607953641,0.0
transformer_heads-1_seed-37,transformer,1,37,675360,20,607.9744169000005,0.587819947043248,0.308,0.5855609033691226,0.291,0.0591016548463357,0.0
transformer_heads-1_seed-71,transformer,1,71,675360,20,656.6204112000014,0.5709967505478727,0.316,0.5702497769848349,0.3,0.06582070187652289,0.0
transformer_heads-2_seed-13,transformer,2,13,675360,20,792.4246625999986,0.6584377302873987,0.36,0.6452019266394962,0.364,0.06024134747030917,0.0
transformer_heads-2_seed-37,transformer,2,37,675360,20,672.8174932000002,0.7242571344513092,0.467,0.7423176601258793,0.495,0.06231678486997636,0.0
transformer_heads-2_seed-71,transformer,2,71,675360,20,703.9972110999988,0.6890349882868586,0.425,0.6584151055605114,0.385,0.07120027847220024,0.0
transformer_heads-4_seed-13,transformer,4,13,675360,20,716.0773286999993,0.7002947678703021,0.396,0.68506854390515,0.384,0.06635463431719044,0.0
transformer_heads-4_seed-37,transformer,4,37,675360,20,666.3392162000018,0.7210208884966166,0.47,0.7335061088485746,0.48,0.06795902285263987,0.0
transformer_heads-4_seed-71,transformer,4,71,675360,20,654.465850499997,0.7129902516436182,0.476,0.6952126077906631,0.44,0.06892186956108984,0.0
transformer_heads-8_seed-13,transformer,8,13,675360,20,701.9516140999986,0.7991156963890936,0.492,0.7981474620229715,0.535,0.0794727290094565,0.0
transformer_heads-8_seed-37,transformer,8,37,675360,20,733.0717920999996,0.7567666960870845,0.466,0.765938541281007,0.474,0.07776201733648543,0.0
transformer_heads-8_seed-71,transformer,8,71,675360,20,714.3274729000004,0.8061664021763773,0.472,0.7862027951234017,0.431,0.0787633302743584,0.0
